route_id,stop_list
0960,"['F03147', 'F03201', 'F03209', 'F03154', 'F03159', 'F03193', 'F03125', 'F03120', 'F03121', 'F03115', 'F03072', 'F03059', 'F03057', 'F03050', 'F03052', 'F03022', '009555', '009515', 'F00881', 'F00789', 'F00781', 'F00776', '009557', 'F00757', 'F00756', 'F00713', 'F00767', 'F00869', 'F00867', 'F00699']"
2960,"['F00642', 'F00646', 'F00649', 'F00464', 'F00468', 'F00462', 'F00636', 'F00722', 'F00856', 'F00721', 'F00909', 'F00729', 'F00727', 'F00901', 'F00872', 'F00731', '075839', 'F00733', 'F00740', 'F00742', '011316', 'F00764', 'F03021', 'F03051', 'F03054', 'F03056', 'F03058', 'F03071', 'F03114', 'F03122', 'F03119', 'F03126', 'F03194', 'F03160', 'F03153', 'F03150', 'F03202', 'F03145']"
2961,"['077870', 'F00739', 'F00732', 'F00730', 'F00871', 'F00900', 'F00726', 'F00728', 'F00908', 'F00720', '008911', 'F00899']"
2615,"['103897', 'F03456', 'F03604', 'F03458', 'F03447', 'F03466', 'F03471', 'F03451', 'F03454', 'F03544', 'F03546', 'F01846', '008022']"
9230,"['F00460', 'F00458', 'F00478', 'F00492', 'F00486']"
1790,"['009290', 'F01411', 'F04297', '102283', '115226', '091120', 'F04358', 'F04302', 'F04299', 'F04356', 'F04301', 'F04311', 'F04314', '008067', 'F04318', 'F04268', 'F04269', '044076', '041092', '041093', '041094', '041095', 'F04321', 'F04329']"
F3180,"['F00408', 'F00157', 'F00426', 'F02461', 'F00026', 'F00090', 'F00085', 'F00080', 'F00103', '072935', '008590', 'F02148', '008593', 'F01997', 'F02238', 'F02004', 'F02010', 'F02240', 'F02013', 'F02016', 'F02020', 'F02025', 'F02031', '008864']"
2200,"['F00803', 'F00787', 'F00780', 'F00773', 'F00761']"
9990,"['F03929', '044126', '044115', '044128', 'F01470', '044129', 'F01451', 'F03920', 'F03968', 'F03969', 'F03966', 'F03972', 'F04025', 'F03983', 'F03991', 'F04033', 'F03992', 'F03995', 'F03998', 'F03891', 'F03892', 'F03622', 'F03625', '008472']"
3500,"['F03930', 'F03899', 'F03931', 'F03947', 'F03953', 'F03903', 'F04030', 'F03737', 'F03739', 'F03755', 'F03833', 'F03768', 'F03708', 'F03719', 'F03823', 'F03692', 'F03803', 'F03885', 'F03853', 'F03791']"
3600,"['F02313', 'F02315', 'F02317', 'F02319', 'F02321', 'F02323', 'F02325', 'F02327', 'F02329', 'F02330']"
9501,"['F00803', 'F00854', 'F00836', 'F00886', 'F00838', 'F03048', 'F03047', 'F03040', 'F03037', 'F03035', 'F03029']"
9500,"['F00803', 'F00854', 'F00836', 'F00886', 'F00838', 'F03048', 'F03046', 'F03027', 'F03026', '007968', 'F03016', 'F03018', 'F03171', 'F03176', '009659', 'F03175']"
5400,"['056233', '056231', '056229', '056227', '056225', '056223', '056221', '056219', '056217', '056215']"
