service_id,date,exception_type
59646,20251111,1
59647,20251112,1
59648,20251113,1
59649,20251124,1
59649,20251125,1
59649,20251126,1
59649,20251127,1
C04183AHPMAA-011,20251027,1
C04183AHPMAA-011,20251028,1
C04183AHPMAA-011,20251029,1
C04183AHPMAA-011,20251030,1
C04183AHPMAA-011,20251031,1
C04183AHPMAA-011,20251103,1
C04183AHPMAA-011,20251104,1
C04183AHPMAA-011,20251105,1
C04183AHPMAA-011,20251106,1
C04183AHPMAA-011,20251107,1
C04183AHPMAA-011,20251110,1
C04183AHPMAA-011,20251111,1
C04183AHPMAA-011,20251112,1
C04183AHPMAA-011,20251113,1
C04183AHPMAA-011,20251114,1
C04183AHPMAA-011,20251117,1
C04183AHPMAA-011,20251118,1
C04183AHPMAA-011,20251119,1
C04183AHPMAA-011,20251120,1
C04183AHPMAA-011,20251121,1
C04183AHPMAA-011,20251124,1
C04183AHPMAA-011,20251125,1
C04183AHPMAA-011,20251126,1
C04183AHPMAA-011,20251127,1
C04183AHPMAA-011,20251128,1
C04183AHPMAA-011,20251201,1
C04184ASVMAA-011,20251026,1
C04184ASVMAA-011,20251101,1
C04184ASVMAA-011,20251102,1
C04184ASVMAA-011,20251108,1
C04184ASVMAA-011,20251109,1
C04184ASVMAA-011,20251115,1
C04184ASVMAA-011,20251116,1
C04184ASVMAA-011,20251122,1
C04184ASVMAA-011,20251123,1
C04184ASVMAA-011,20251129,1
C04184ASVMAA-011,20251130,1
C11388ASZHK-0011,20251108,1
C11388ASZHK-0011,20251115,1
C11388ASZHK-0011,20251122,1
C11388ASZHK-0011,20251129,1
C27965ASZKMK-011,20251108,1
C27965ASZKMK-011,20251115,1
C27965ASZKMK-011,20251122,1
C27965ASZKMK-011,20251129,1
C27966AVVKMK-011,20251026,1
C27966AVVKMK-011,20251101,1
C27966AVVKMK-011,20251102,1
C27966AVVKMK-011,20251109,1
C27966AVVKMK-011,20251116,1
C27966AVVKMK-011,20251123,1
C27966AVVKMK-011,20251130,1
C41987ASZPÁ-0031,20251101,1
C41987ASZPÁ-0031,20251122,1
C41987ASZPÁ-0031,20251129,1
C41989AVVPÁ-0031,20251026,1
C41989AVVPÁ-0031,20251102,1
C41989AVVPÁ-0031,20251123,1
C41989AVVPÁ-0031,20251130,1
C48432R03SZMM-0011,20251108,1
C48432R03SZMM-0011,20251115,1
C48433R03VVMM-0011,20251109,1
C48433R03VVMM-0011,20251116,1
C56403ASZCsZ-011,20251108,1
C56403ASZCsZ-011,20251115,1
C56403ASZCsZ-011,20251122,1
C56403ASZCsZ-011,20251129,1
C56408AVVCsZ-011,20251026,1
C56408AVVCsZ-011,20251109,1
C56408AVVCsZ-011,20251116,1
C56408AVVCsZ-011,20251123,1
C56408AVVCsZ-011,20251130,1
C61209AHPSZB-011,20251103,1
C61209AHPSZB-011,20251104,1
C61209AHPSZB-011,20251105,1
C61209AHPSZB-011,20251106,1
C61209AHPSZB-011,20251107,1
C61209AHPSZB-011,20251110,1
C61209AHPSZB-011,20251111,1
C61209AHPSZB-011,20251112,1
C61209AHPSZB-011,20251113,1
C61209AHPSZB-011,20251114,1
C61209AHPSZB-011,20251117,1
C61209AHPSZB-011,20251118,1
C61209AHPSZB-011,20251119,1
C61209AHPSZB-011,20251120,1
C61209AHPSZB-011,20251121,1
C61209AHPSZB-011,20251124,1
C61209AHPSZB-011,20251125,1
C61209AHPSZB-011,20251126,1
C61209AHPSZB-011,20251127,1
C61209AHPSZB-011,20251128,1
C61209AHPSZB-011,20251201,1
C61986AVVSZB-011,20251026,1
C61986AVVSZB-011,20251101,1
C61986AVVSZB-011,20251102,1
C61986AVVSZB-011,20251109,1
C61986AVVSZB-011,20251116,1
C61986AVVSZB-011,20251123,1
C61986AVVSZB-011,20251130,1
C62820AVVWA-0041,20251026,1
C62820AVVWA-0041,20251102,1
C62820AVVWA-0041,20251116,1
C62820AVVWA-0041,20251123,1
C62820AVVWA-0041,20251130,1
C62844ÜNVVWA-0021,20251101,1
C65704K1HPSzN-051,20251027,1
C65704K1HPSzN-051,20251028,1
C65704K1HPSzN-051,20251029,1
C65704K1HPSzN-051,20251030,1
C65704K1HPSzN-051,20251031,1
C65705ASZSzN-061,20251108,1
C65705ASZSzN-061,20251115,1
C65705ASZSzN-061,20251122,1
C65705ASZSzN-061,20251129,1
C65706AVVSzN-061,20251026,1
C65706AVVSzN-061,20251101,1
C65706AVVSzN-061,20251102,1
C65706AVVSzN-061,20251109,1
C65706AVVSzN-061,20251116,1
C65706AVVSzN-061,20251123,1
C65706AVVSzN-061,20251130,1
C68931AHPBR-0031,20251103,1
C68931AHPBR-0031,20251104,1
C68931AHPBR-0031,20251105,1
C68931AHPBR-0031,20251106,1
C68931AHPBR-0031,20251107,1
C68931AHPBR-0031,20251110,1
C68931AHPBR-0031,20251111,1
C68931AHPBR-0031,20251112,1
C68931AHPBR-0031,20251113,1
C68931AHPBR-0031,20251114,1
C68931AHPBR-0031,20251117,1
C68931AHPBR-0031,20251118,1
C68931AHPBR-0031,20251119,1
C68931AHPBR-0031,20251120,1
C68931AHPBR-0031,20251121,1
C68931AHPBR-0031,20251124,1
C68931AHPBR-0031,20251125,1
C68931AHPBR-0031,20251126,1
C68931AHPBR-0031,20251127,1
C68931AHPBR-0031,20251128,1
C68931AHPBR-0031,20251201,1
C68941K1HPBR-0011,20251027,1
C68941K1HPBR-0011,20251028,1
C68941K1HPBR-0011,20251029,1
C68941K1HPBR-0011,20251030,1
C68941K1HPBR-0011,20251031,1
C71611AHPLL-0011,20251103,1
C71611AHPLL-0011,20251104,1
C71611AHPLL-0011,20251105,1
C71611AHPLL-0011,20251106,1
C71611AHPLL-0011,20251107,1
C71611AHPLL-0011,20251110,1
C71611AHPLL-0011,20251111,1
C71611AHPLL-0011,20251112,1
C71611AHPLL-0011,20251113,1
C71611AHPLL-0011,20251114,1
C71611AHPLL-0011,20251117,1
C71611AHPLL-0011,20251118,1
C71611AHPLL-0011,20251119,1
C71611AHPLL-0011,20251120,1
C71611AHPLL-0011,20251121,1
C71611AHPLL-0011,20251124,1
C71611AHPLL-0011,20251125,1
C71611AHPLL-0011,20251126,1
C71611AHPLL-0011,20251127,1
C71611AHPLL-0011,20251128,1
C71611AHPLL-0011,20251201,1
C71612K1HPLL-0011,20251027,1
C71612K1HPLL-0011,20251028,1
C71612K1HPLL-0011,20251029,1
C71612K1HPLL-0011,20251030,1
C71612K1HPLL-0011,20251031,1
C71613ASZLL-0011,20251108,1
C71613ASZLL-0011,20251115,1
C71613ASZLL-0011,20251122,1
C71613ASZLL-0011,20251129,1
C71614AVVLL-0011,20251026,1
C71614AVVLL-0011,20251101,1
C71614AVVLL-0011,20251102,1
C71614AVVLL-0011,20251109,1
C71614AVVLL-0011,20251116,1
C71614AVVLL-0011,20251123,1
C71614AVVLL-0011,20251130,1
C72164AVVNR-0011,20251026,1
C72164AVVNR-0011,20251101,1
C72164AVVNR-0011,20251102,1
C72164AVVNR-0011,20251109,1
C72164AVVNR-0011,20251116,1
C72451AHCSzN-061,20251103,1
C72451AHCSzN-061,20251104,1
C72451AHCSzN-061,20251105,1
C72451AHCSzN-061,20251106,1
C72451AHCSzN-061,20251110,1
C72451AHCSzN-061,20251111,1
C72451AHCSzN-061,20251112,1
C72451AHCSzN-061,20251113,1
C72451AHCSzN-061,20251117,1
C72451AHCSzN-061,20251118,1
C72451AHCSzN-061,20251119,1
C72451AHCSzN-061,20251120,1
C72451AHCSzN-061,20251124,1
C72451AHCSzN-061,20251125,1
C72451AHCSzN-061,20251126,1
C72451AHCSzN-061,20251127,1
C72451AHCSzN-061,20251201,1
C72452APPSzN-061,20251107,1
C72452APPSzN-061,20251114,1
C72452APPSzN-061,20251121,1
C72452APPSzN-061,20251128,1
C73444ASVBR-0031,20251026,1
C73444ASVBR-0031,20251101,1
C73444ASVBR-0031,20251102,1
C73444ASVBR-0031,20251108,1
C73444ASVBR-0031,20251109,1
C73444ASVBR-0031,20251115,1
C73444ASVBR-0031,20251116,1
C73444ASVBR-0031,20251122,1
C73444ASVBR-0031,20251123,1
C73444ASVBR-0031,20251129,1
C73444ASVBR-0031,20251130,1
C74100AHCWA-0041,20251103,1
C74100AHCWA-0041,20251104,1
C74100AHCWA-0041,20251105,1
C74100AHCWA-0041,20251106,1
C74100AHCWA-0041,20251110,1
C74100AHCWA-0041,20251111,1
C74100AHCWA-0041,20251112,1
C74100AHCWA-0041,20251113,1
C74100AHCWA-0041,20251117,1
C74100AHCWA-0041,20251118,1
C74100AHCWA-0041,20251119,1
C74100AHCWA-0041,20251120,1
C74100AHCWA-0041,20251124,1
C74100AHCWA-0041,20251125,1
C74100AHCWA-0041,20251126,1
C74100AHCWA-0041,20251127,1
C74100AHCWA-0041,20251201,1
C74101APPWA-0041,20251107,1
C74101APPWA-0041,20251114,1
C74101APPWA-0041,20251121,1
C74101APPWA-0041,20251128,1
C74104ASZWA-0041,20251108,1
C74104ASZWA-0041,20251115,1
C74104ASZWA-0041,20251122,1
C74104ASZWA-0041,20251129,1
C74105AVVWA-0041,20251026,1
C74105AVVWA-0041,20251109,1
C74105AVVWA-0041,20251116,1
C74105AVVWA-0041,20251123,1
C74105AVVWA-0041,20251130,1
C74113K1HCWA-0041,20251027,1
C74113K1HCWA-0041,20251028,1
C74113K1HCWA-0041,20251029,1
C74113K1HCWA-0041,20251030,1
C74114K1PPWA-0041,20251031,1
C74970AHPYM-0021,20251103,1
C74970AHPYM-0021,20251104,1
C74970AHPYM-0021,20251105,1
C74970AHPYM-0021,20251106,1
C74970AHPYM-0021,20251107,1
C74970AHPYM-0021,20251110,1
C74970AHPYM-0021,20251111,1
C74970AHPYM-0021,20251112,1
C74970AHPYM-0021,20251113,1
C74970AHPYM-0021,20251114,1
C74970AHPYM-0021,20251117,1
C74970AHPYM-0021,20251118,1
C74970AHPYM-0021,20251119,1
C74970AHPYM-0021,20251120,1
C74970AHPYM-0021,20251121,1
C74970AHPYM-0021,20251124,1
C74970AHPYM-0021,20251125,1
C74970AHPYM-0021,20251126,1
C74970AHPYM-0021,20251127,1
C74970AHPYM-0021,20251128,1
C74970AHPYM-0021,20251201,1
C74970AVCYM-0021,20251102,1
C74970AVCYM-0021,20251103,1
C74970AVCYM-0021,20251104,1
C74970AVCYM-0021,20251105,1
C74970AVCYM-0021,20251106,1
C74970AVCYM-0021,20251109,1
C74970AVCYM-0021,20251110,1
C74970AVCYM-0021,20251111,1
C74970AVCYM-0021,20251112,1
C74970AVCYM-0021,20251113,1
C74970AVCYM-0021,20251116,1
C74970AVCYM-0021,20251117,1
C74970AVCYM-0021,20251118,1
C74970AVCYM-0021,20251119,1
C74970AVCYM-0021,20251120,1
C74970AVCYM-0021,20251123,1
C74970AVCYM-0021,20251124,1
C74970AVCYM-0021,20251125,1
C74970AVCYM-0021,20251126,1
C74970AVCYM-0021,20251127,1
C74970AVCYM-0021,20251130,1
C75133AHCPÁ-0031,20251124,1
C75133AHCPÁ-0031,20251125,1
C75133AHCPÁ-0031,20251126,1
C75133AHCPÁ-0031,20251127,1
C75133AHCPÁ-0031,20251201,1
C75219AHCKMK-011,20251103,1
C75219AHCKMK-011,20251104,1
C75219AHCKMK-011,20251105,1
C75219AHCKMK-011,20251106,1
C75219AHCKMK-011,20251110,1
C75219AHCKMK-011,20251111,1
C75219AHCKMK-011,20251112,1
C75219AHCKMK-011,20251113,1
C75219AHCKMK-011,20251117,1
C75219AHCKMK-011,20251118,1
C75219AHCKMK-011,20251119,1
C75219AHCKMK-011,20251120,1
C75219AHCKMK-011,20251124,1
C75219AHCKMK-011,20251125,1
C75219AHCKMK-011,20251126,1
C75219AHCKMK-011,20251127,1
C75219AHCKMK-011,20251201,1
C75220APPKMK-011,20251107,1
C75220APPKMK-011,20251114,1
C75220APPKMK-011,20251121,1
C75220APPKMK-011,20251128,1
C75226K1HPKMK-011,20251027,1
C75226K1HPKMK-011,20251028,1
C75226K1HPKMK-011,20251029,1
C75226K1HPKMK-011,20251030,1
C75226K1HPKMK-011,20251031,1
C75248APPPÁ-0031,20251128,1
C75257K1HCPÁ-0031,20251027,1
C75257K1HCPÁ-0031,20251028,1
C75257K1HCPÁ-0031,20251029,1
C75257K1HCPÁ-0031,20251030,1
C75262K1PPPÁ-0031,20251031,1
C75462ASZWA-0041,20251108,1
C75462ASZWA-0041,20251115,1
C75462ASZWA-0041,20251122,1
C75462ASZWA-0041,20251129,1
C75569AHPMAA-091,20251103,1
C75569AHPMAA-091,20251104,1
C75569AHPMAA-091,20251105,1
C75569AHPMAA-091,20251106,1
C75569AHPMAA-091,20251107,1
C75569AHPMAA-091,20251110,1
C75569AHPMAA-091,20251111,1
C75569AHPMAA-091,20251112,1
C75569AHPMAA-091,20251113,1
C75569AHPMAA-091,20251114,1
C75569AHPMAA-091,20251117,1
C75569AHPMAA-091,20251118,1
C75569AHPMAA-091,20251119,1
C75569AHPMAA-091,20251120,1
C75569AHPMAA-091,20251121,1
C75569AHPMAA-091,20251124,1
C75569AHPMAA-091,20251125,1
C75569AHPMAA-091,20251126,1
C75569AHPMAA-091,20251127,1
C75569AHPMAA-091,20251128,1
C75569AHPMAA-091,20251201,1
C75892AHPWA-0041,20251103,1
C75892AHPWA-0041,20251104,1
C75892AHPWA-0041,20251105,1
C75892AHPWA-0041,20251106,1
C75892AHPWA-0041,20251107,1
C75892AHPWA-0041,20251110,1
C75892AHPWA-0041,20251111,1
C75892AHPWA-0041,20251112,1
C75892AHPWA-0041,20251113,1
C75892AHPWA-0041,20251114,1
C75892AHPWA-0041,20251117,1
C75892AHPWA-0041,20251118,1
C75892AHPWA-0041,20251119,1
C75892AHPWA-0041,20251120,1
C75892AHPWA-0041,20251121,1
C75892AHPWA-0041,20251124,1
C75892AHPWA-0041,20251125,1
C75892AHPWA-0041,20251126,1
C75892AHPWA-0041,20251127,1
C75892AHPWA-0041,20251128,1
C75892AHPWA-0041,20251201,1
C75893K1HPWA-0041,20251027,1
C75893K1HPWA-0041,20251028,1
C75893K1HPWA-0041,20251029,1
C75893K1HPWA-0041,20251030,1
C75893K1HPWA-0041,20251031,1
C76185AHCWA-0041,20251103,1
C76185AHCWA-0041,20251104,1
C76185AHCWA-0041,20251105,1
C76185AHCWA-0041,20251106,1
C76185AHCWA-0041,20251110,1
C76185AHCWA-0041,20251111,1
C76185AHCWA-0041,20251112,1
C76185AHCWA-0041,20251113,1
C76185AHCWA-0041,20251117,1
C76185AHCWA-0041,20251118,1
C76185AHCWA-0041,20251119,1
C76185AHCWA-0041,20251120,1
C76185AHCWA-0041,20251124,1
C76185AHCWA-0041,20251125,1
C76185AHCWA-0041,20251126,1
C76185AHCWA-0041,20251127,1
C76185AHCWA-0041,20251201,1
C76186APPWA-0041,20251107,1
C76186APPWA-0041,20251114,1
C76186APPWA-0041,20251121,1
C76186APPWA-0041,20251128,1
C76188K1HCWA-0041,20251027,1
C76188K1HCWA-0041,20251028,1
C76246K1HPKVA-011,20251027,1
C76246K1HPKVA-011,20251028,1
C76246K1HPKVA-011,20251029,1
C76246K1HPKVA-011,20251030,1
C76246K1HPKVA-011,20251031,1
C76450ASZNR-0011,20251108,1
C76450ASZNR-0011,20251115,1
C76450ASZNR-0011,20251122,1
C76450ASZNR-0011,20251129,1
C76536AHPCsZ-011,20251027,1
C76536AHPCsZ-011,20251028,1
C76536AHPCsZ-011,20251029,1
C76536AHPCsZ-011,20251030,1
C76536AHPCsZ-011,20251031,1
C76536AHPCsZ-011,20251103,1
C76536AHPCsZ-011,20251104,1
C76536AHPCsZ-011,20251105,1
C76536AHPCsZ-011,20251106,1
C76536AHPCsZ-011,20251107,1
C76536AHPCsZ-011,20251110,1
C76536AHPCsZ-011,20251111,1
C76536AHPCsZ-011,20251112,1
C76536AHPCsZ-011,20251113,1
C76536AHPCsZ-011,20251114,1
C76536AHPCsZ-011,20251117,1
C76536AHPCsZ-011,20251118,1
C76536AHPCsZ-011,20251119,1
C76536AHPCsZ-011,20251120,1
C76536AHPCsZ-011,20251121,1
C76536AHPCsZ-011,20251124,1
C76536AHPCsZ-011,20251125,1
C76536AHPCsZ-011,20251126,1
C76536AHPCsZ-011,20251127,1
C76536AHPCsZ-011,20251128,1
C76536AHPCsZ-011,20251201,1
C76565AVVNR-0011,20251026,1
C76565AVVNR-0011,20251101,1
C76565AVVNR-0011,20251102,1
C76565AVVNR-0011,20251109,1
C76565AVVNR-0011,20251116,1
C76565AVVNR-0011,20251123,1
C76565AVVNR-0011,20251130,1
C76739K1HPPD-0021,20251027,1
C76739K1HPPD-0021,20251028,1
C76739K1HPPD-0021,20251029,1
C76739K1HPPD-0021,20251030,1
C76739K1HPPD-0021,20251031,1
C76743K1HPNR-0011,20251027,1
C76743K1HPNR-0011,20251028,1
C76743K1HPNR-0011,20251029,1
C76743K1HPNR-0011,20251030,1
C76743K1HPNR-0011,20251031,1
C76787ASZSZB-011,20251108,1
C76787ASZSZB-011,20251115,1
C76787ASZSZB-011,20251122,1
C76787ASZSZB-011,20251129,1
C76867ASZPD-0011,20251108,1
C76867ASZPD-0011,20251115,1
C76867ASZPD-0011,20251122,1
C76867ASZPD-0011,20251129,1
C76868AVVPD-0011,20251026,1
